smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_197_raw,smart_198_raw,failure,prediction
0.0,21851.0,0.0,0.0,0.0,0.0,0,0
0.0,40724.0,0.0,0.0,0.0,1.0,0,0
0.0,3077.0,0.0,0.0,0.0,0.0,0,0
0.0,646.0,0.0,0.0,0.0,0.0,0,0
0.0,44244.0,0.0,0.0,0.0,0.0,0,0
0.0,45235.0,0.0,0.0,0.0,0.0,0,0
0.0,40679.0,0.0,0.0,0.0,0.0,0,0
0.0,38846.0,0.0,0.0,0.0,0.0,0,0
0.0,50771.0,0.0,0.0,0.0,0.0,0,0
0.0,43590.0,0.0,0.0,0.0,0.0,0,0
0.0,41545.0,0.0,0.0,0.0,0.0,0,0
0.0,38013.0,0.0,0.0,0.0,0.0,0,0
0.0,46413.0,0.0,0.0,0.0,0.0,0,0
0.0,49436.0,0.0,0.0,0.0,0.0,0,0
0.0,72809.0,0.0,0.0,0.0,0.0,0,0
0.0,75458.0,0.0,0.0,0.0,0.0,0,0
0.0,75169.0,0.0,0.0,0.0,0.0,0,0
0.0,43564.0,0.0,0.0,0.0,0.0,0,0
0.0,21496.0,0.0,0.0,0.0,0.0,0,0
32.0,77552.0,0.0,0.0,0.0,0.0,0,0
0.0,76335.0,0.0,0.0,0.0,0.0,0,0
0.0,49431.0,0.0,0.0,0.0,0.0,0,0
0.0,38863.0,0.0,0.0,0.0,0.0,0,0
0.0,40722.0,0.0,0.0,0.0,0.0,0,0
0.0,41436.0,0.0,0.0,0.0,0.0,0,0
0.0,41512.0,0.0,0.0,0.0,0.0,0,0
8.0,73090.0,0.0,0.0,0.0,0.0,0,0
0.0,48103.0,0.0,0.0,0.0,0.0,0,0
0.0,3854.0,0.0,0.0,0.0,0.0,0,0
0.0,48142.0,0.0,0.0,0.0,0.0,0,0
0.0,3124.0,0.0,0.0,0.0,0.0,0,0
16.0,71649.0,0.0,0.0,0.0,0.0,0,0
0.0,49443.0,0.0,0.0,0.0,0.0,0,0
0.0,49387.0,0.0,0.0,0.0,0.0,0,0
0.0,43293.0,0.0,0.0,0.0,0.0,0,0
0.0,38515.0,0.0,0.0,0.0,0.0,0,0
0.0,40714.0,0.0,0.0,0.0,0.0,0,0
0.0,47214.0,0.0,0.0,0.0,0.0,0,0
0.0,42876.0,0.0,0.0,0.0,0.0,0,0
0.0,72986.0,0.0,0.0,0.0,0.0,0,0
0.0,75142.0,0.0,0.0,0.0,0.0,0,0
1.0,3870.0,0.0,0.0,0.0,0.0,0,0
0.0,2498.0,3.0,0.0,0.0,0.0,0,0
0.0,70955.0,0.0,0.0,0.0,0.0,0,0
0.0,75053.0,0.0,0.0,0.0,0.0,0,0
0.0,70966.0,0.0,0.0,0.0,0.0,0,0
0.0,48141.0,0.0,0.0,0.0,0.0,0,0
0.0,73943.0,0.0,0.0,0.0,0.0,0,0
0.0,3873.0,0.0,1.0,0.0,0.0,0,0
0.0,46387.0,0.0,0.0,0.0,0.0,0,0
0.0,46425.0,0.0,0.0,0.0,0.0,0,0
